"Map Title: Unemployment rates by county, not seasonally adjusted",,,
Map Type: Illinois county Map,,,
Month/Year: September/2018,,,
County,September,,
,2018,,
Adams County,3.5,,
Alexander County,6.2,,
Bond County,3.7,,
Boone County,4.1,,
Brown County,2.4,,
Bureau County,3.9,,
Calhoun County,4,,
Carroll County,3.6,,
Cass County,3.7,,
Champaign County,3.8,,
Christian County,4.7,,
Clark County,4.2,,
Clay County,4.4,,
Clinton County,3,,
Coles County,4,,
Cook County,3.8,,
Crawford County,4.6,,
Cumberland County,3.5,,
De Witt County,4.3,,
Dekalb County,3.7,,
Douglas County,3.4,,
Dupage County,3,,
Edgar County,4,,
Edwards County,3.8,,
Effingham County,3.2,,
Fayette County,4.3,,
Ford County,3.9,,
Franklin County,5.4,,
Fulton County,4.9,,
Gallatin County,5.2,,
Greene County,4.2,,
Grundy County,3.7,,
Hamilton County,3.7,,
Hancock County,4.2,,
Hardin County,6.6,,
Henderson County,4,,
Henry County,4.4,,
Iroquois County,3.7,,
Jackson County,4.1,,
Jasper County,4.3,,
Jefferson County,4.6,,
Jersey County,3.9,,
Jo Daviess County,3.4,,
Johnson County,6.6,,
Kane County,4,,
Kankakee County,4.2,,
Kendall County,3.2,,
Knox County,4.6,,
La Salle County,4.5,,
Lake County,3.7,,
Lawrence County,4.9,,
Lee County,3.5,,
Livingston County,3.8,,
Logan County,4.1,,
Macon County,4.7,,
Macoupin County,4,,
Madison County,3.9,,
Marion County,4.3,,
Marshall County,4.2,,
Mason County,4.6,,
Massac County,6.2,,
McDonough County,4.2,,
McHenry County,3.1,,
McLean County,3.5,,
Menard County,3.3,,
Mercer County,4.1,,
Monroe County,3.1,,
Montgomery County,4.8,,
Morgan County,3.7,,
Moultrie County,3.6,,
Ogle County,4,,
Peoria County,4.8,,
Perry County,5.2,,
Piatt County,3.5,,
Pike County,4,,
Pope County,5,,
Pulaski County,6.3,,
Putnam County,4.2,,
Randolph County,3.7,,
Richland County,4,,
Rock Island County,4.8,,
Saint Clair County,4.4,,
Saline County,6,,
Sangamon County,3.7,,
Schuyler County,3.5,,
Scott County,3.8,,
Shelby County,3.8,,
Stark County,4.6,,
Stephenson County,4.1,,
Tazewell County,4.1,,
Union County,4.9,,
Vermilion County,5.1,,
Wabash County,4.2,,
Warren County,3.8,,
Washington County,2.9,,
Wayne County,4.9,,
White County,3.8,,
Whiteside County,4,,
Will County,3.5,,
Williamson County,4.4,,
Winnebago County,4.7,,
Woodford County,3.5,,
